Fichier;SHA_avant;SHA_apres;Backup_path;Backup_timestamp
lib/services/mcp_tools_service.dart;33E138C8CFB8D552D310BA81DAB76F79D1AC3E3C8602BA3A568230BA1004119E;A8C1D23645F46D2A0A4A8D650C431955A678E9AF2A9FF2ABC4938707EDB56DAE;lib/services/mcp_tools_service.dart.bak_20260915_1548;2026-09-15 15:48
lib/utils/portable_preferences.dart;FFF49E728590717489363661858B3B23768FE5D6F8403327AC761F632E8F1CEC;6029AB2A59FC12C81A88DD061A446F19AFC910D31810FE91E5AA66986469E476;lib/utils/portable_preferences.dart.bak_20260915_1608;2026-09-15 16:08
lib/services/batch_queue_service.dart;778F573E2BE92C2E5AE44F128E37B9A16A7FF655D1FFAE630FAEA7379956380F;1A005DF545B0C590A4EFF9C2CC66629ED39483F52ED2AB209FF16EAF9EB35DA9;lib/services/batch_queue_service.dart.bak_20260915_1625;2026-09-15 16:25
sd_server.py;760CE69CE0D066B8200B724D640C78E57351AC0BD41B16F1527662FAB75DDADA;0A0A697CC0C4C0081C5927D473B109A8D34B7E22B5974F46EC1A35C3EB9E0F15;sd_server.py.bak_20260915_1646;2026-09-15 16:46
